"","index","Year","Goal","Goal0","Author_original","Author_first","Author_firstname","AuthorType","Gender","Title"
"1","dsa001",2021,"Art","Art","Enrico Dorigattti","Enrico Dorigattti","Enrico","single","male","76-A Multimedia Representation of the increase of Global Warming"
"2","dsa002",2014,"Public Engagement","Engagement","Jon Bellona","Jon Bellona","Jon","single","male","#Carbonfeed"
"3","dsa003",2003,"Art","Art","Isao Hashimoto","Isao Hashimoto","Isao","single","male","1945-1998"
"4","dsa004",2008,"Research","Research","Konstantin .G. Kebkal, R. Bannasch, O.G. Kebkal, A.I. Panfilov and R. Wischnewskic","Konstantin Kebkal","Konstantin","multiple","male","3D acoustic imaging applied to the Baikal Neutrino Telescope"
"5","dsa005",2019,"Public Engagement","Engagement","SYSTEM Sounds","Andrew Santaguida","Andrew","association","male","4000 Exoplanets"
"6","dsa006",2022,"Public Engagement","Engagement","NASA/JPL-Caltech/SYSTEM Sounds (M. Russo, A. Santaguida)","Matt Russo","Matt","multiple","male","5000 Exoplanets"
"7","dsa007",2018,"Art","Art","Falk Morawitz","Falk Morawitz","Falk","single","male","56Fe (2018)"
"8","dsa008",2016,"Research","Research","Manuel Senfft & IGEP/TU Braunschweig","Manuel Senfft","Manuel","multiple","male","A Comet's Life"
"9","dsa009",2020,"Accessibility","Research","Chris Harrison and Nic Bonne","Chris Harrison","Chris","multiple","male","A Dark Tour of the Universe"
"10","dsa010",2016,"Art","Art","Michaela Gleave with Amanda Cole and Warren Armstrong","Michaela Gleave","Michaela","multiple","female","A Galaxy of Suns"
"11","dsa011",2020,"Public Engagement","Engagement","NASA/CXC/SAO/K.Arcand, SYSTEM Sounds (M. Russo, A. Santaguida)","Matt Russo","Matt","multiple","male","A New Cosmic Triad of Sound"
"12","dsa012",2022,"Research","Research","Benjamin Renard","Benjamin Renard","Benjamin","single","male","A postcard from Antarctica"
"13","dsa013",2022,"Research","Research","Miles Blencowe","Miles Blencowe","Miles","single","male","A Quantum Drum"
"14","dsa014",2021,"Research","Research","Miles Blencowe","Miles Blencowe","Miles","single","male","A Quantum Soundscape"
"15","dsa015",2014,"Research","Research","Manuel Senfft and European Space Agenncy","Manuel Senfft","Manuel","multiple","male","A Singing Comet"
"16","dsa016",2013,"Public Engagement","Engagement","Daniel Crawford & Scott S. George/University of Minnesota","Daniel Crawford","Daniel","multiple","male","A Song of Our Warming Planet"
"17","dsa017",2022,"Public Engagement","Engagement","SYSTEM Sounds/Munck Studios","Andrew Santaguida","Andrew","multiple","male","A Sonic Journey Across the Universe"
"18","dsa018",2016,"Data Journalism","Engagement","Reveal News","Michael Corey","Michael","association","male","A Sonic Memorial"
"19","dsa019",2021,"Public Engagement","Engagement","Sandro Bardelli, Claudia Ferretti, Giorgio Presti, Maurizio Rinaldi","Sandro Bardelli","Sandro","multiple","male","A Sonification of the zCOSMOS Galaxy Dataset: a history of galaxies"
"20","dsa020",2016,"Art","Art","John Collins, Mark Hansen, Ben Rubin and Jer Thorp","John Collins","John","multiple","male","A Sort of Joy"
"21","dsa021",2021,"Public Engagement","Engagement","Duncan Geere & Miriam Quick (Loud Numbers)","Duncan Geere","Duncan","multiple","male","A Symphony of Bureaucracy"
"22","dsa022",2020,"Accessibility","Research","University of Patras","Ioannis Gialelis","Ioannis","multiple","male","A4BD - Astronomy for the Blind and the Disabled"
"23","dsa023",2021,"Research","Research","ISA and European Space Agency","",NA,"multiple","association","Accelerometer data during BepiColombo’s Venus flyby"
"24","dsa024",2009,"Art","Art","Fiorella Terenzi","Fiorella Terenzi","Fiorella","single","female","Acoustic Astronomy"
"25","dsa025",2016,"Public Engagement","Engagement","Cath Le Couteur, Nick Ryan","Cath Le_Couteur","Cath","multiple","female","Adrift (Machine 9)"
"26","dsa026",2014,"Art","Art","Gregory Reeves","Gregory Reeves","Gregory","single","male","AERO"
"27","dsa027",2017,"Accessibility","Research","Joshua Haislip","Joshua Haislip","Joshua","single","male","Afterglow Access"
"28","dsa028",2014,"Art","Art","Brian Foo","Brian Foo","Brian","single","male","Air Play"
"29","dsa029",2020,"Research","Research","Pedro Sarmento","Pedro Sarmento","Pedro","single","male","Air Pollution During Lockdown"
"30","dsa030",2015,"Public Engagement","Engagement","Antonio Hales and Ricardo Finger","Antonio Hales","Antonio","multiple","male","ALMA Sounds"
"31","dsa031",2020,"Research","Research","Maaike van Cruchten en Frank Kloos","Maaike van_Cruchten","Maaike","multiple","female","Amsterdam in and out of lockdown"
"32","dsa032",2017,"Data Analysis","Research","Mark Temple","Mark Temple","Mark","single","male","An auditory display tool for DNA sequence analysis"
"33","dsa033",2017,"Art","Art","Sara Lenzi, Stefano Silvestri, Giosue Grassia","Sara Lenzi","Sara","multiple","female","An empty stream, a great silence, an impenetrable forest"
"34","dsa034",2012,"Art","Art","Denis P Paul","Denis Paul","Denis","single","male","An Instrument for the Sonification of Everday Things"
"35","dsa035",2012,"Research","Research","LazerLAB, Northeastern University, Boston","David Lazer","David","multiple","male","Angry Pac"
"36","dsa036",2019,"Art","Art","Jamie Perera","Jamie Perera","Jamie","single","male","Anthropocene in C Major’"
"37","dsa037",2020,"Research","Research","ISA and European Space Agency","",NA,"multiple","association","Approaching Earth: Sound of BepiColombo Earth flyby"
"38","dsa038",2016,"Art","Art","Jon Bellona, John Park, and John Reagan","Jon Bellona","Jon","multiple","male","Aqualitative"
"39","dsa039",2010,"Art","Art","Robert Jarvis","Robert Jarvis","Robert","single","male","aroundNorth"
"40","dsa040",2016,"Art","Art","Mathilde Lavenne and Daniel Cabanzo, IRCAM","Mathilde Lavenne","Mathilde","multiple","female","Artefact, Digital Necrophony"
"41","dsa041",2014,"Public Engagement","Engagement","Fletcher Moore","Fletcher Moore","Fletcher","single","male","Artificial Killing Machine"
"42","dsa043",2020,"Research","Research","Francesco Aletta, Tin Oberman, Andrew Mitchell, Huan Tong and Jian Kang","Francesco Aletta","Francesco","multiple","male","Assessing the changing urban sound environment during the COVID-19 lockdown"
"43","dsa044",2021,"Research","Research","Josefina Montalbán, Mackereth, J.T., Miglio, A. et al. Leibniz Institute for Astrophysics Potsdam (AIP)","Josefina Montalbán","Josefina","multiple","female","Asterochronometry"
"44","dsa045",2018,"Accessibility","Research","Yuma ANtoine Decaux","Yuma_Antoine Decaux","Yuma_Antoine","association","male","AstreOS"
"45","dsa046",2020,"Accessibility","Research","Clara Brasseur and Scott Fleming","Clara Brasseur","Clara","multiple","female","Astronify"
"46","dsa047",2021,"Public Engagement","Engagement","Hiromi Okumura, Valerie Williams, Jenn Kirby, Thomas B Jobson and Joseph Vaughan","Hiromi Okumura","Hiromi","multiple","female","AtmosActions"
"47","dsa048",2007,"Research","Research","Andrea Polli","Andrea Polli","Andrea","single","female","Atmospherics/Weather Works"
"48","dsa049",2021,"Accessibility","Research","Chris Harrison, James Trayford, Nic Bonne, Leigh Harrison ","Chris Harrison","Chris","multiple","male","Audio Universe: Tour of the Solar System"
"49","dsa050",2012,"Research","Research","Eric Stone and Jesse Garrison","Eric Stone","Eric","multiple","male","audiolyzR: Give Your Data a Listen"
"50","dsa051",2022,"Research","Research","Maria Mannone, V. Seidita, A. Chella","Maria Mannone","Maria","multiple","female","Auditory Feedback of a Quantum-Driven Robotic Swarm"
"51","dsa052",2016,"Art","Art","Robertina Šebjanič","Robertina Šebjanič","Robertina","single","female","Aurelia 1 + Hz / Proto viva Sonification"
"52","dsa053",2012,"Art","Art","Varvara Guljajeva & Mar Canet Sola","Varvara Guljajeva","Varvara","multiple","female","Baltic Sea Radio"
"53","dsa054",2017,"Art","Art","Jon Pigren","Jon Pigren","Jon","single","male","Biorhythms – London"
"54","dsa055",2018,"Art","Art","Interactive Architecture Lab","Santipab Somboon","Santipab","association","male","Birdspace"
"55","dsa056",2013,"Data Analysis","Research","Maximillian Laumeister","Maximillian Laumeister","Maximillian","single","male","Bitlisten (Listen to Bitcoin)"
"56","dsa057",2022,"Public Engagement","Engagement","NASA/CXC/SAO/K.Arcand, SYSTEM Sounds (M. Russo, A. Santaguida)","Matt Russo","Matt","multiple","male","Black Hole Sound"
"57","dsa058",2018,"Public Engagement","Engagement","SYSTEM Sounds","Andrew Santaguida","Andrew","association","male","Black Widows Pulsar"
"58","dsa059",2015,"Art","Art","Brian Foo","Brian Foo","Brian","single","male","Body Language - How pop musicians sing about the body"
"59","dsa060",2021,"Public Engagement","Engagement","Duncan Geere & Miriam Quick (Loud Numbers)","Duncan Geere","Duncan","multiple","male","Boom & Bust"
"60","dsa061",2019,"Art","Art","Sara Bouchard","Sara Bouchard","Sara","single","female","Breathe, River"
"61","dsa062",2022,"Data Journalism","Engagement","Sara I Belled, Belén Almendros y Raúl Rivas (Agencia Colpisa, Vocento)","Sara Belled","Sara","multiple","female","Can you hear a pandemic? This is what the waves of covid sound like inside the ICUs"
"62","dsa064",2010,"Education","Engagement","Guy Evans","Guy Evans","Guy","single","male","Carbon Composition"
"63","dsa065",2020,"Public Engagement","Engagement","Chen Chou","Chen Chou","Chen","single","female","Care Tunes for Families"
"64","dsa066",2016,"Art","Art","Daito Manabe","Daito Manabe","Daito","single","male","Chains"
"65","dsa067",2021,"Research","Research","Frédéric Bertuccia David Lecchini Céline Greeven Rohan M.Brookere Lana Minier Sébastien Cordonnier Malika René-Trouillefou Eric Parmentier","Frédéric Bertuccia","Frédéric","multiple","male","Changes to an urban marina soundscape during COVID-19 lockdown in Guadeloupe"
"66","dsa068",2011,"Art","Art","Ed Wrzesien","Ed Wrzesien","Ed","single","male","Chaos Atlantis"
"67","dsa069",2006,"Research","Research","Michael Horgan and Roddy Lindsay","Michael Horgan","Michael","multiple","male","Chess Game Sonification"
"68","dsa070",2000,"Art","Art","Stuart Jones","Stuart Jones","Stuart","single","male","Chesterfield Starfield"
"69","dsa071",2016,"Research","Research","LIGO Research Centre","Jason St_George","Jason","association","male","Chirp"
"70","dsa072",2010,"Research","Research","Tim Prebble","Tim Prebble","Tim","single","male","Christchurch Quakes"
"71","dsa073",2004,"Public Engagement","Engagement","Christina Kubisch","Christina Kubisch","Christina","single","female","Christina Kubisch's Electrical Walk"
"72","dsa074",2012,"Research","Research","Mark McKeague","Mark McKeague","Mark","single","male","City Symphonies"
"73","dsa075",2017,"Public Engagement","Engagement","Jamie Perera","Jamie Perera","Jamie","single","male","Climate Symphony"
"74","dsa076",2014,"Art","Art","Brian Foo","Brian Foo","Brian","single","male","Color Balance"
"75","dsa077",2021,"Art","Art","Kofi (IllestPreacha)","Kofi Oduro","Kofi","multiple","male","Colorscape - Dipincode"
"76","dsa078",2021,"Art","Art","Kofi (IllestPreacha)","Kofi Oduro","Kofi","multiple","male","Colorscape - Huesintogrooves"
"77","dsa079",2018,"Public Engagement","Engagement","Ludovic Riffault","Ludovic Riffault","Ludovic","single","male","Commute"
"78","dsa080",2020,"Public Engagement","Engagement","BBC News","Irene de_la_Torre_Arenas","Irene","association","female","Coronavirus: How can we imagine the scale of Covid's death toll?"
"79","dsa081",2015,"Art","Art","David Worrall and Udo Rink","David Worrall","David","multiple","male","Corpo Real"
"80","dsa082",2022,"Public Engagement","Engagement","NASA, ESA, CSA, STScI, Kimberly Arcand (CXC, SAO), Matt Russo (SYSTEM Sounds), Andrew Santaguida (SYSTEM Sounds), Quyen Hart (STScI), Claire Blome (STScI), Christine Male","Kimberly Arcand","Kimberly","multiple","female","Cosmic Cliffs in the Carina Nebula SonificationsCosmic Cliffs in the Carina Nebula Sonifications"
"81","dsa083",2013,"Research","Research","Mark Ballora","Mark Ballora","Mark","single","male","Cosmic Microwave Background"
"82","dsa084",2021,"Public Engagement","Engagement","Rubén García-Benito","Rubén García-Benito","Rubén","single","male","CosMonic"
"83","dsa085",2015,"Public Engagement","Engagement","Humane Engineering","Alex Rothera","Alex","association","male","Cove App"
"84","dsa086",2020,"Public Engagement","Engagement","Chelidon Frame","Chelidon Frame","Chelidon","single","female","COVID19 data sonification"
"85","dsa087",2020,"Research","Research","University of Surrey","Enzo de_Sena","Enzo","multiple","male","COVID19 listening project"
"86","dsa088",2020,"Public Engagement","Engagement","TULP interactive","Jan_Willem Tulp","Jan_Willem","association","male","COVID19 spreading rates"
"87","dsa089",2013,"Research","Research","Mark Ballora","Mark Ballora","Mark","single","male","Crab Pulsar Soundtrack"
"88","dsa090",2014,"Education","Engagement","Marty Quinn/University of New Hampshire","Marty Quinn","Marty","multiple","male","Crater (Cosmic Rays Telescope for the Effects of Radiations)"
"89","dsa091",2009,"Art","Art","Jonathan Vingiano","Jonathan Vingiano","Jonathan","single","male","Credit Synthesis"
"90","dsa092",2014,"Art","Art","Yann Seznec","Yann Seznec","Yann","single","male","Currents"
"91","dsa093",2021,"Public Engagement","Engagement","Mod and Institute for Culture and Society, Western Sydney University","Sarah Cashman","Sarah","multiple","female","Data Farms Sonification"
"92","dsa094",2013,"Research","Research","LISA Consortium / Valeriya Korol, Andrea Valle","Valeriya Korol","Valeriya","multiple","female","Data from the Mock Data Challenge for a single Extreme Mass Ratio Inspiral (EMRI) signal"
"93","dsa095",2021,"Public Engagement","Engagement","NASA/CXC/SAO/K.Arcand, SYSTEM Sounds (M. Russo, A. Santaguida)","Kimberly Arcand","Kimberly","multiple","female","Data Sonification: Stellar, Galactic, and Black Hole"
"94","dsa096",2017,"Public Engagement","Engagement","Hatnote","Cory Seeger","Cory","association","male","Data Waltz"
"95","dsa097",2011,"Research","Research","Joseph A. Paradiso with Alexander W Dreyfoos, Brian Mayton, Gershon Dublon, Spencer Russell","Joseph Paradiso","Joseph","multiple","male","Data-Driven Elevator Music"
"96","dsa098",2020,"Data Analysis","Research","Stephen Roddy","Stephen Roddy","Stephen","single","male","Data-scape: An Online Framework for Data Sonification"
"97","dsa099",2014,"Art","Art","Samuel Van Ransbeeck","Samuel Van_Ransbeeck","Samuel","single","male","DataScapr"
"98","dsa100",2020,"Public Engagement","Engagement","Yann Seznec","Yann Seznec","Yann","single","male","deathIncrease"
"99","dsa101",2012,"Accessibility","Research","Silvya Zhu","Silvya Zhu","Silvya","single","female","Deep Space Sonata"
"100","dsa102",2022,"Art","Art","Andy Szybalski & Stephen Chau","Andy Szybalski","Andy","multiple","male","Degen Blues is an Ethereum smart contract that generates a new melody every 24 hours based on the movements of Ethereum prices. It forms a collection of 500+ NFTs which anyone can mint to ""own"" a day in this history of the blockchain."
"101","dsa103",2016,"Art","Art","Benedict Eris Carey","Benedict Eris_Carey","Benedict","single","male","Deutsche Bank stock fluctuations made into music"
"102","dsa104",2021,"Art","Art","HER: She Loves Data / Salvatore Iaconesi & Oriana Persico","Salvatore Iaconesi","Salvatore","multiple","male","Di Protoni e Dati"
"103","dsa105",2021,"Research","Research","Forensic Architecture, Brian Eno","Eyal Weizman","Eyal","multiple","male","Digital Violence"
"104","dsa106",2013,"Art","Art","Yoon Chung Han","Yoon Chung Han","Yoon","single","male","Digiti Sonus"
"105","dsa107",2015,"Art","Art","Brian Foo","Brian Foo","Brian","single","male","Distance from Home"
"106","dsa108",2020,"Public Engagement","Engagement","Edward Martin","Edward Martin","Edward","single","male","DNA Sonification - Sex determining region of the Y (SRY) Human Orangutan"
"107","dsa109",2015,"Public Engagement","Engagement","Mario de Vega","Mario de_Vega","Mario","single","male","Dolmen"
"108","dsa110",2020,"Public Engagement","Engagement","System SOUND","Andrew Santaguida","Andrew","association","male","Earth Day"
"109","dsa112",2020,"Research","Research","ISA and European Space Agency","",NA,"multiple","association","Earth within reach Sound of BepiColombo Earth flyby"
"110","dsa113",2019,"Research","Research","Martin Archer and European Space Agency","Martin Archer","Martin","multiple","male","Earth’s magnetic 'song' during a solar storm"
"111","dsa114",2019,"Research","Research","Martin Archer and European Space Agency","Martin Archer","Martin","multiple","male","Earth’s magnetic 'song' during calm space weather conditions"
"112","dsa115",2020,"Public Engagement","Engagement","Charles Dodge","Charles Dodge","Charles","single","male","Earth's Magnetic Field"
"113","dsa116",1999,"Art","Art","Andy Michael","Andy Michael","Andy","single","male","Earthquake Quartet #1"
"114","dsa117",2016,"Art","Art","Binaura collective","Ágoston Nagy","Ágoston","association","male","Echo"
"115","dsa118",2020,"Public Engagement","Engagement","Mary Kay Severino, Henry ""Trae"" Winter - ARISA Lab, LLC","Mary Kay_Severino","Mary","multiple","female","Eclipse Soundscapes"
"116","dsa119",2014,"Data Journalism","Engagement","Tactical tech","Tactical tech","Tactical","single","male","Egypt Building Collapses"
"117","dsa120",2020,"Research","Research","Benjamin Renard","Benjamin Renard","Benjamin","single","male","El NiñOz"
"118","dsa121",2018,"Public Engagement","Engagement","Gray Crawford, Shengzhi Wu, Devika Singh, and Dan Lockton","Gray Crawford","Gray","multiple","male","Electric Acoustic"
"119","dsa122",2017,"Art","Art","Antonio Menghini and Stefano Pontani","Antonio Menghini","Antonio","multiple","male","EMUSIC"
"120","dsa123",2021,"Art","Art","Charlotte Roe","Charlotte Roe","Charlotte","single","female","Entity"
"121","dsa124",2021,"Public Engagement","Engagement","Bicrophonic Research Institute","Kaffe Matthews","Kaffe","association","male","Enviro Bike"
"122","dsa125",2005,"Research","Research","Domenico Vicinanza","Domenico Vicinanza","Domenico","single","male","Etna Sonification Project"
"123","dsa126",2020,"Public Engagement","Engagement","Jamie Perera","Jamie Perera","Jamie","single","male","Every UK COVID19 data sonification Death by Day - from March 5th 2020 to June 23rd 2020"
"124","dsa127",2022,"Public Engagement","Engagement","NASA, ESA, CSA, STScI, Kimberly Arcand (CXC, SAO), Matt Russo (SYSTEM Sounds), Andrew Santaguida (SYSTEM Sounds), Quyen Hart (STScI), Claire Blome (STScI), Christine Malec","Matt Russo","Matt","multiple","male","Exoplanet WASP-96 b Sonification"
"125","dsa128",2020,"Accessibility","Research","Rachel Zimmerman Brachman, Tiana James, Rob Zellem","Rachel Zimmerman_Brachman","Rachel","multiple","female","Exoplanet Watch"
"126","dsa129",2021,"Art","Art","Andras Blazsek","Andras Blazsek","Andras","single","male","Extreme Weather in Three Movements"
"127","dsa130",2016,"Art","Art","Ben Neill and Mimi Goese","Ben Neill","Ben","multiple","male","Fathom; Hudson River Environmental Data as Music"
"128","dsa131",2018,"Art","Art","David Johnson","David Johnson","David","single","male","Fault Trace"
"129","dsa132",2017,"Art","Art","Falk Morawitz","Falk Morawitz","Falk","single","male","Finland As Experienced By The Sea"
"130","dsa133",2021,"Public Engagement","Engagement","Jamie Perera","Jamie Perera","Jamie","single","male","First Wave: A sonification of deaths from Coronavirus in the UK over 154 days, from 2nd March to 2nd August 2020"
"131","dsa134",2020,"Art","Art","Jamie Perera","Jamie Perera","Jamie","single","male","Flatline"
"132","dsa135",2008,"Art","Art","John Eacott","John Eacott","John","single","male","Floodtide"
"133","dsa136",2013,"Art","Art","CSV Soundsystem","CSV Soundsystem","CSV","single","male","FMS Symphony"
"134","dsa137",2010,"Data Journalism","Engagement","Amanda Cox, The New York Times","Amanda Cox","Amanda","multiple","female","Fractions of a Second - An Olympic Musical"
"135","dsa138",2013,"Art","Art","CSV Soundsystem","CSV Soundsystem","CSV","single","male","Fractions of a Second: An Olympic Musical"
"136","dsa139",2016,"Research","Research","Jamie Ferguson and European Space Agency","Jamie Ferguson","Jamie","multiple","male","From Hipparchus to Hipparcos: A Sonification of Stellar Catalogues"
"137","dsa140",2020,"Accessibility","Research","University of Patras","Ioannis Gialelis","Ioannis","multiple","male","G4ViD - Geology for the Visually Impaired and the Disabled"
"138","dsa141",2018,"Public Engagement","Engagement","European Space Agency","",NA,"association","association","Gaia Mission Holiday Song"
"139","dsa142",2018,"Research","Research","Binary Dust","Gavin Starks","Gavin","association","male","Galaxy Player"
"140","dsa143",2016,"Art","Art","Konstantinos Vasilakos","Konstantinos Vasilakos","Konstantinos","single","male","Geo Magnetic Storm"
"141","dsa144",2017,"Art","Art","Georgios Cherouvim","Georgios Cherouvim","Georgios","single","male","Geolocation"
"142","dsa145",2019,"Public Engagement","Engagement","SYSTEM Sounds","Andrew Santaguida","Andrew","association","male","Giant Leaps - Apollo program sonification"
"143","dsa146",2009,"Public Engagement","Engagement","Luke Dubois and Mivos Quartet","Luke Dubois","Luke","multiple","male","Hard Data"
"144","dsa147",2018,"Public Engagement","Engagement","Chris Chafe of the Center for Computer Research in Music and Acoustics at Stanford","Chris Chafe","Chris","multiple","male","Hear Climate Data Turned Into Music"
"145","dsa148",2020,"Accessibility","Research","Together! with Kim Albrecht","Kim Albrecht","Kim","multiple","male","Hear the Blind Spot"
"146","dsa149",2016,"Public Engagement","Engagement","Vibrant Lives / Jessica Rajko Eileen Standley Jacqueline Wernimont","Jessica Rajko","Jessica","multiple","female","Hearing Eugenics"
"147","dsa150",2022,"Public Engagement","Engagement","SYSTEM Sounds","Andrew Santaguida","Andrew","association","male","Heartbeat Stars"
"148","dsa151",2021,"Research","Research","Benjamin Renard and Chloé Le Bescond","Benjamin Renard","Benjamin","multiple","male","Hidden Climate Indices"
"149","dsa152",2012,"Public Engagement","Engagement","Domenico Vicinanza and CERN","Domenico Vicinanza","Domenico","multiple","male","Higgs Boson Sonification"
"150","dsa153",2021,"Data Analysis","Research","Highcharts and Georgia Tech Sonification Lab","Torstein Hønsi","Torstein","multiple","male","Highcharts Sonification Studio"
"151","dsa154",2022,"Art","Art","Renik Bell and Moon Hung","Renik Bell","Renik","multiple","male","HKO_hot_temp_rain_sea_1884-2021_20220225"
"152","dsa155",2021,"Research","Research","ISA and European Space Agency","",NA,"multiple","association","How a spacecraft ‘feels’ a planetary flyby"
"153","dsa156",2011,"Research","Research","Acoustic Sonification","Stephen Barrass","Stephen","association","male","HRTF Bells"
"154","dsa157",2021,"Research","Research","Benjamin Renard and Chloé Le Bescond","Benjamin Renard","Benjamin","multiple","male","Hydrological Principal Component Analysis"
